"","Metabolite","Estimate","LCI","UCI","Pval"
"51","M_LDL_P",0.088272826301456,0.0302861605091195,0.146259492093792,0.00285619425275626
"52","S_LDL_FC",0.0879578364055888,0.0301247559001954,0.145790916910982,0.0028819423433561
"53","IDL_P",0.0881408554733871,0.0301510094538299,0.146130701492944,0.00289958866769059
"54","L_LDL_CE",0.087931348516653,0.0300114182678052,0.145851278765501,0.00293276914395197
"55","HDL3_C",0.0871744130805783,0.0292893536160463,0.14505947254511,0.00316858925887754
"56","S_LDL_CE_.",0.0852526379216778,0.0283160992929523,0.142189176550403,0.00334701806732793
"57","M_HDL_L",0.0867562247403194,0.028575257137574,0.144937192343065,0.00347985194748187
"58","S_LDL_L",0.0863112479508786,0.0284013876864004,0.144221108215357,0.00349526022469548
"59","XXL_VLDL_TG",-0.0869005326036607,-0.145253776744007,-0.0285472884633142,0.00352228077336451
"60","M_HDL_FC_.",0.0870320184164652,0.0284349472833925,0.145629089549538,0.00361069050492878
"61","XS_VLDL_FC",0.0866658912027955,0.0282781194404698,0.145053662965121,0.00363214976113422
"62","M_HDL_PL",0.0860005269234457,0.0278759758404482,0.144125078006443,0.00374106299130743
"63","M_VLDL_C_.",0.0862708983079331,0.0277784797150221,0.144763316900844,0.00385192328009023
"64","S_LDL_P",0.0847156489752329,0.0268343206392155,0.14259697731125,0.00413176621794478
"65","XL_VLDL_TG",-0.085451706933282,-0.14384181552038,-0.0270615983461844,0.0041355321109784
"66","XXL_VLDL_P",-0.0853645252057763,-0.143721750386657,-0.0270073000248957,0.00415268928341066
"67","bOHBut",0.0866239336709149,0.0273900618439337,0.145857805497896,0.00416290316991472
"68","XXL_VLDL_FC",-0.0849717678075762,-0.143372400314541,-0.0265711353006113,0.00435779306621026
"69","M_LDL_FC_.",-0.0844329053588896,-0.142653040819089,-0.0262127698986905,0.00448682613318769
"70","XXL_VLDL_PL",-0.0841561826978776,-0.142520913221311,-0.0257914521744444,0.00472180635485465
"71","XL_VLDL_P",-0.0841396482618743,-0.142522043448958,-0.0257572530747909,0.00474260796260835
"72","XXL_VLDL_L",-0.0838562424470898,-0.142203563531344,-0.0255089213628361,0.00485950599817751
"73","M_HDL_C",0.0830545604685722,0.0248971208730966,0.141212000064048,0.00513562693857161
"74","M_HDL_P",0.082911356562758,0.024845318512147,0.140977394613369,0.00514242612049129
"75","UnSat",0.0836944143188432,0.0249562429792195,0.142432585658467,0.00523697874155428
"76","XXL_VLDL_CE_.",0.0844089808817002,0.0244625184501095,0.144355443313291,0.00579501908925255
"77","FreeC",0.0814650521088002,0.0235132798218844,0.139416824395716,0.00587598245606898
"78","XL_VLDL_L",-0.0818558947949018,-0.140238092579075,-0.0234736970107284,0.00600626040835357
"79","SM",0.0809683829841212,0.0228327310875934,0.139104034880649,0.00634900525256175
"80","IDL_CE",0.0800658089917514,0.0221694884695511,0.137962129513952,0.00672953783746624
"81","L_VLDL_TG",-0.0804705851101567,-0.13885624656551,-0.0220849236548038,0.00691686977039708
"82","L_VLDL_P",-0.0799979621985228,-0.138353886793249,-0.0216420376037963,0.00722400581274393
"83","IDL_FC_.",0.078324422034264,0.0205164132542404,0.136132430814288,0.00792865767029937
"84","XL_VLDL_PL",-0.0783494915646288,-0.136709573980778,-0.0199894091484792,0.00851747419193551
"85","L_VLDL_FC",-0.0782714791950788,-0.136639290649482,-0.0199036677406755,0.00859207710927745
"86","XS_VLDL_C",0.0780387927484135,0.0197843692612245,0.136293216235603,0.00866077672179161
"87","M_HDL_CE",0.0775837912073526,0.0194028236159804,0.135764758798725,0.00897092329974428
"88","XL_VLDL_FC",-0.0773863749983151,-0.135737800935062,-0.0190349490615685,0.00935209981748891
"89","XL_VLDL_C",-0.0765060494920497,-0.134847201261882,-0.0181648977222171,0.0101752275027887
"90","S_HDL_PL_.",-0.0765610245227044,-0.13500777806839,-0.0181142709770183,0.0102577125226226
"91","HDL_C",0.075721380800158,0.0175414053146602,0.133901356285656,0.0107562291725859
